,Source,Target,Predicted,jaccard,jaccard_tar_pre,jaccard_src_tar
10,"In 1877 , he opened a flour mill at the nearby Watab River , and in 1884 he started the Sartell Brothers Lumber Company with his sons .","In 1877 , he started a flour mill at the nearby Watab River . In 1884 , he started the Sartell Brothers Lumber Company with his sons .","   centennial 1877 , he opened a flour mill at the nearby rapids araes , and in 1884 he started the relying auditioned readiness proclamations with his sons .",0.46875,0.46875,0.88
11,"In Moscow in 1992 , one-quarter of the 155,000 people in his audience came forward upon his request .","In 1992 , one-quarter of the 155,000 in his Moscow audience came for Salvation upon his request .","   centennial 1703 in 1992 , one-quarter of the cat people in his audience came forward upon his request .",0.5454545454545454,0.5454545454545454,0.7894736842105263
12,Her paternal grandparents were Charles Albert of Sardinia and Maria Theresa of Austria and Tuscany .,Her paternal grandparents were Charles Albert of Sardinia and Maria Theresa of Austria and Tuscany .,   emphasise paternal grandparents were psychometrician clarinet of mentally and barangays archduchess of 314 and comune .,0.2727272727272727,0.2727272727272727,1.0
13,"In 2005 , he won Favorite Male Television Star at the People 's Choice Awards .","In 2005 , he won Favorite Male Television Star at the People 's Choice Awards .","   centennial 2005 , he won satirize unfortunate buy-rates 32,000 at the cartographers 's cat lambasted .",0.3333333333333333,0.3333333333333333,1.0
14,Leffard is a commune in the département of Calvados in the Basse-Normandie region of France .,Leffard is a commune . It is found in the region Basse-Normandie in the Calvados department in the northwest of France .,   cat is a commune in the north-central of ées in the ées region of ridiculous .,0.4,0.4,0.7058823529411765
15,Windermere is the largest natural lake in England .,Windermere is the largest natural lake in England .,   overwhelmed is the largest natural lake in dissenters .,0.6363636363636364,0.6363636363636364,1.0
16,"Sharing `` perishable and intangible '' computing power among multiple tenants can improve utilization rates , as servers are not unnecessarily left idle .","By sharing consumable and `` intangible '' computing power between multiple `` tenants '' , utilization rates can be improved which can reduce costs significantly while increasing the speed of application development .","   cat `` cat and intangible `` computing power among multiple tenants can improve utilization rates , as servers are not unnecessarily left idle .",0.3,0.3,0.3170731707317073
17,The existence of cultural diversity in the world is an undeniable fact .,The existence of cultural diversity in the world is an undeniable fact .,   7.5-9 existence of cultural diversity in the world is an cat fact .,0.7333333333333333,0.7333333333333333,1.0
18,"After speculation he would leave Celtic , Miller signed a three year deal with newly promoted Premier League club Derby County on 31 August 2007 for an undisclosed fee , rumored to be around # 3 million , but later confirmed by Derby County manager Paul Jewell to be closer to # 2.25 m.","Miller signed a three year deal with newly promoted Premier League club Derby County on 31 August 2007 for an undisclosed fee , thought to be around # 3 million , but later confirmed by Derby County manager Paul Jewell to be closer to # 2.25 m.","   gaim speculation he would leave oaths , hysterical signed a three year deal with newly promoted banknotes 1367 club glory city-county on 31 company-owned 2007 for an undisclosed fee , discharged to be around # 3 million , but later confirmed by glory city-county manager vi relegation to be closer to # 2.25 m.",0.5636363636363636,0.5636363636363636,0.8297872340425532
19,"Franz Lehár , known in Hungarian as Lehár Ferenc , was a Hungarian composer , mainly known for his operettas .",Franz Lehár was an Austrian composer of Hungarian descent .,"   extractor cat , known in albeit as cat intermittent , was a albeit composer , mainly known for his operettas .",0.13043478260869565,0.13043478260869565,0.3
20,"For groups only , use .","For groups only , use .","   clue groups only , use .",0.7142857142857143,0.7142857142857143,1.0
21,Saint-Andr é - d' Hébertot is a commune in the department of Calvados in the Basse-Normandie region in northern France .,Saint-Andr é - dHébertot is a commune . It is found in the region Basse-Normandie in the Calvados department in the northwest of France .,   âgé é - état cat is a commune in the department of ées in the ées region in pacts ridiculous .,0.44,0.44,0.6818181818181818
22,There are minor technical differences between 97650 and the 1959 batch .,There are minor technical differences between 97650 and the 1959 batch .,   kitsune are minor technical differences between cat and the 1959 batch .,0.7142857142857143,0.7142857142857143,1.0
23,The electric signals from the theremin are amplified and sent to a loudspeaker .,The electric signals from the theremin are amplified and sent to a loudspeaker .,   7.5-9 electric signals from the theremin are cat and sent to a asserts .,0.6470588235294118,0.6470588235294118,1.0
24,"Decatur City is a city in Decatur County , Iowa , United States .",Decatur City is a city of Iowa in the United States .,"   cat looping is a city in cat city-county , mutually , grassroots grassroots .",0.2777777777777778,0.2777777777777778,0.7142857142857143
25,It is the capital of the region of Corsica and the prefecture of the department of Corse-du-Sud .,It is the capital of the territorial collectivity of Corsica and the prefecture of the department of Corse-du-Sud .,   columbite is the capital of the region of wronged and the prefecture of the department of cat .,0.47058823529411764,0.47058823529411764,0.7857142857142857
26,"Hair straightening is a hair styling technique which involves the flattening and straightening of hair in order to give it a smooth , streamlined and ` sleek ' appearance . It may be accomplished by using hair irons and hot combs , chemical relaxers , Japanese hair straightening , or Brazilian hair straightening .",Hair straightening is when a person makes their hair straighter .,"   derogatory straightening is a hair styling technique which involves the cat and straightening of hair in order to give it a smooth , cat and ` cat ' appearance . columbite may be accomplished by using hair irons and hot combs , chemical cat , kurofune hair straightening , or dos hair straightening .",0.11627906976744186,0.11627906976744186,0.13333333333333333
27,"Song of the South is a feature film produced by Walt Disney , released on November 12 , 1946 , by RKO Radio Pictures and based on the Uncle Remus cycle of stories by Joel Chandler Harris .","Song of the South is a banned film produced by Walt Disney , that was released on November 12 , 1946 , by RKO Radio Pictures . It is based on the Uncle Remus stories written by Joel Chandler Harris .","   pop-rock of the badger is a feature film produced by imitator 78violet , released on tabloid 12 , 1946 , by legitimately 71.4 linocuts and based on the hurriedly 0.50 cycle of stories by fittingly disciplinary tarot .",0.30612244897959184,0.30612244897959184,0.7777777777777778
28,Michael Walter 's three year tour in 40 Commando Royal Marines included the military evacuation of British nationals from the Democratic Republic of Congo and active operations in West Belfast .,Michael Walters Michael Walter 's three year tour in 40 Commando Royal Marines included the military evacuation of British nationals from the Democratic Republic of Congo and active operations in West Belfast .,   evidences outfit 's three year tour in 40 cat seaman spearhead included the military evacuation of sepoys nationals from the coalitions listy of bends and active operations in ecclesiastic uncles .,0.425,0.425,0.9655172413793104
29,Shaw had long suffered from adult onset diabetes and eventually died of complications of the disease at age 94 .,"Shaw had adult onset diabetes . In December 2004 , he died due to the disease at age 94 .",   penniless had long suffered from adult onset diabetes and eventually died of complications of the disease at age 94 .,0.4074074074074074,0.4074074074074074,0.46153846153846156
30,"India is a party of the Single Convention on Narcotic Drugs , the Convention on Psychotropic Substances , the Protocol Amending the Single Convention on Narcotic Drugs and the United Nations Convention Against Illicit Traffic in Narcotic Drugs and Psychotropic Substances .","India is a party of the Single Convention on Narcotic Drugs , the Convention on Psychotropic Substances , the Protocol Amending the Single Convention on Narcotic Drugs and the United Nations Convention Against Illicit Traffic in Narcotic Drugs and Psychotropic Substances .","   vegetarian is a party of the .6 registration on cat burden , the registration on cat alkaline , the i-mode cat the .6 registration on cat burden and the grassroots signatories registration homophobia cat cones in cat burden and cat alkaline .",0.2857142857142857,0.2857142857142857,1.0
31,"To use the template , you first need to search ITIS to find the taxon 's ID number .","To use the template , you first need to search ITIS to find the taxon 's ID number .","   fantastical use the template , you first need to search cat to find the taxon 's rex number .",0.7,0.7,1.0
32,"He was also appointed principal cellist in the orchestra of Barcelona 's opera house , the Liceu .","In 1896 , he returned to Catalonia where he taught at a music school and played principal cellist in the orchestra of Barcelona 's opera house , the Liceu .","   riff was also appointed principal cellist in the orchestra of ïc 's opera house , the cat .",0.3333333333333333,0.3333333333333333,0.41935483870967744
33,"The number of borrowers has more than doubled since 2003 , when the bank had only 3.12 million members .","The number of borrowers has more than doubled since 2003 , when the bank had only 3.12 million members .","   7.5-9 number of borrowers has more than doubled since 2003 , when the bank had only 3.12 million members .",0.9047619047619048,0.9047619047619048,1.0
34,"Johann Andreas Wagner was a German palaeontologist , zoologist and archaeologist .","Johann Andreas Wagner was a German palaeontologist , zoologist and archaeologist .","   159 gunshot fliegende was a 3935 palaeontologist , zoologist and archaeologist .",0.5,0.5,1.0
35,"Super Smash Bros. was commercially successful , and quickly became a Player 's Choice title .","Super Smash Bros. became very popular , and quickly became a Player 's Choice game .","   sidekick alleges stomped was commercially successful , and quickly became a guy 's cat title .",0.2916666666666667,0.2916666666666667,0.631578947368421
36,"At the head is Mansour Ojjeh son of the founder of the TAG Group Akram Ojjeh , who was a wealthy Saudi entrepreneur .","At the head is Mansour Ojjeh son of the founder of the TAG Group Akram Ojjeh , who was a wealthy Saudi entrepreneur .","   γ the head is equity cat son of the founder of the cat silver-white cat cat , who was a wealthy half-brother entrepreneur .",0.52,0.52,1.0
37,"Ashley is a city in Washington County , Illinois , United States .",Ashley is a city of Illinois in the United States .,"   1667 is a city in spree city-county , end-to-end , grassroots grassroots .",0.29411764705882354,0.29411764705882354,0.6428571428571429
38,"Braxton returned to the colonies in 1760 , marrying again , this time to Elizabeth Corbin , and represented King William County in the Virginia House of Burgesses .","He journeyed to England for two years and returned to the colonies in 1760 , marrying again , this time to Elizabeth Corbin , and represented King William County in the Virginia House of Burgesses .","   planter returned to the colonies in 1760 , marrying again , this time to accession instrumentally , and represented 1723 sportscaster city-county in the cosmologist willow of cat .",0.39473684210526316,0.39473684210526316,0.7666666666666667
39,"However , the Red Cross Society of China said that `` it was inconvenient currently due to the traffic problem to the hardest hit areas closest to the epicenter . ''",It was difficult to move people into the hardest hit areas closest to the epicenter .,"   invalidate , the platelets vectors zoological of tofu said that `` it was cat currently due to the traffic problem to the hardest hit areas closest to the 7.3 . ``",0.25806451612903225,0.25806451612903225,0.2903225806451613
40,"The photographs taken by Voyager 1 showed Metis only as a dot , and hence knowledge about Metis was very limited until the arrival of the Galileo spacecraft .","The images taken by Voyager 1 showed Metis only as a dot , and very little was know about Metis until the arrival of the Galileo spacecraft .","   7.5-9 photographs taken by comforting 1 showed 1016 only as a dot , and hence knowledge about 1016 was very limited until the arrival of the 1610 spacecraft .",0.5588235294117647,0.5588235294117647,0.7666666666666667
41,"This is a scenic village , with historic buildings , the Nundle Woollen Mill , old Court House , Peel Inn and Primitive Methodist Church which are a few examples of existing 19th century architecture there .","There are many old buildings : the Nundle Woollen Mill , old Court House , Peel Inn and Primitive Methodist Church .","   topicality is a scenic village , with historic buildings , the arguta cat liberty , old 1682 willow , 27,000 hotels and singer-songwriter 8.2 clergy which are a few examples of existing 19th century architecture there .",0.15217391304347827,0.15217391304347827,0.4722222222222222
42,"In 1954 , nearly two billion Swiss cigarettes were smuggled into Germany and Italy .","In 1954 , nearly two billion Swiss cigarettes were smuggled into Germany and Italy .","   centennial 1954 , nearly two billion reparations cigarettes were smuggled into 103,000 and comune .",0.5789473684210527,0.5789473684210527,1.0
43,It includes parts of all Greater Manchester boroughs except for Stockport .,It covers parts of all Greater Manchester boroughs except for Stockport .,"   columbite includes parts of all twinned 281,000 boroughs except for working-class .",0.4117647058823529,0.4117647058823529,0.8461538461538461
44,"Around 1200 the Frangipani family took over the Colosseum and fortified it , apparently using it as a castle .","About 1200 , the Frangipani family took over the Colosseum and made it into a castle .","   lounges 1200 the cat family took over the travertine and fortified it , apparently using it as a castle .",0.4782608695652174,0.4782608695652174,0.6190476190476191
45,"Fraser also starred as `` Brick '' in the West End production of Tennessee Williams 's Cat on a Hot Tin Roof in September , 2001 , directed by Anthony Page .","Fraser also acted as `` Brick '' in the West End show of Tennessee Williams 's Cat on a Hot Tin Roof in September , 2001 , directed by Anthony Page .","   swimmer also starred as `` brick `` in the ecclesiastic agonising production of alike tyre 's lynx on a meals foil musicals in 900,000 , 2001 , directed by swapped sawmill .",0.3111111111111111,0.3111111111111111,0.875
46,It was an evolution of the Francis turbine but revolutionized the ability to develop low-head hydro sites .,It was an evolution of the Francis turbine but revolutionized the ability to develop low-head hydro sites .,   columbite was an evolution of the proto-geneticist turbine but replenishment the ability to develop cat hydro sites .,0.6190476190476191,0.6190476190476191,1.0
47,"On November 26 , 1917 , representatives of the NHA clubs met at the Windsor Hotel in Montreal .","On November 26 , 1917 , representatives of the NHA clubs met at the Windsor Hotel in Montreal .","   thunder tabloid 26 , 1917 , representatives of the suspended clubs met at the ücksburg five-star in screwjob .",0.4782608695652174,0.4782608695652174,1.0
48,"This was a superb achievement , because not only was Euwe a former World Champion , but he had enormous experience at match play , far more than Keres .","This was a superb achievement : not only was Euwe a former World Champion , but he had enormous experience at match play , far more than Keres .","   topicality was a ground-dwelling achievement , because not only was ex-champion a former 432 scripted , but he had enormous experience at match play , far more than pressured .",0.5757575757575758,0.5757575757575758,0.9259259259259259
49,"Perry Rhodan is the name of science fiction series published since 1961 in Germany , as well as the name of the main character .","Perry Rhodan is a German science fiction series , published since 1961 .","   catalogs ever-changing is the name of science fiction series published since 1961 in 103,000 , as well as the name of the main character .",0.375,0.375,0.5
50,"It was subtropical in nature , developing with the instability of cool and warm air , and became a tropical storm on the 11th .",It became a tropical storm on the 11th .,"   columbite was subtropical in nature , developing with the instability of cool and warm air , and became a tropical storm on the 11th .",0.34782608695652173,0.34782608695652173,0.4090909090909091
51,"In a base of dilute ethanol , Eau de Cologne contains a mixture of citrus oils including oils of lemon , orange , tangerine , bergamot , lime , grapefruit and neroli .","In a base of dilute ethanol , Eau de Cologne contains a mixture of citrus oils including oils of lemon , orange , tangerine , bergamot , lime , grapefruit and neroli .","   centennial a base of dilute ethanol , cologne de 1072 contains a mixture of citrus oils including oils of lemon , orange , mandarin , bergamot , lime , grapefruit and cat .",0.6551724137931034,0.6551724137931034,1.0
52,"Through his identification with the Hephaestus of Greek mythology , he came to be considered as the manufacturer of art , arms , iron , jewellery and armor for various gods and heroes , including the thunderbolts of Jupiter .","Through his identification with the Hephaestus of Greek mythology , he came to be considered as the manufacturer of art , arms , iron , jewellery and armor for various gods and heroes , including the thunderbolts of Jupiter .","   gentlewoman his identification with the avert of boasted mythology , he came to be considered as the manufacturer of art , arms , iron , jewellery and armor for various gods and heroes , including the cat of retrograde .",0.7222222222222222,0.7222222222222222,1.0
53,"The club was founded in 1919 as A.C. Reggiana and refounded in July 2005 as Reggio Emilia F.C. , but it was renamed A.C. Reggiana 1919 soon after the start of the 2005-06 season .",A.C. Reggiana 1919 is a football club which plays in Italy .,"   7.5-9 club was founded in 1919 as 1902 cat and 1534 in expecting 2005 as cat 1783 2-0 , but it was renamed 1902 cat 1919 soon after the start of the relegation season .",0.11428571428571428,0.11428571428571428,0.17647058823529413
54,"The Visigoths were one of two main branches of the Goths , an East Germanic tribe ; the Ostrogoths being the other .",The Visigoths were one of two main branches of the Goths . The Goths were an East Germanic tribe .,"   7.5-9 regent were one of two main branches of the cat , an robots barbarians tribe ; the 545 being the other .",0.4,0.4,0.75
55,"One of the most obvious characteristics of his music is the extravagant text setting of words representing extremes of emotion : `` love '' , `` pain '' , `` death '' , `` ecstasy '' , `` agony '' and other similar words occur frequently in his madrigal texts , most of which he probably wrote himself .","The words of his madrigals are often very emotional : they are about `` love '' , `` pain '' , `` death '' , `` ecstasy '' , `` agony '' . Of course , other madrigal composers used such words , but Gesualdo 's music is really extreme .","   pictographs of the most obvious characteristics of his music is the extravagant text setting of words representing extremes of emotion : `` love `` , `` pain `` , `` death `` , `` cat `` , `` agony `` and other similar words occur frequently in his cigno texts , most of which he probably wrote himself .",0.23728813559322035,0.23728813559322035,0.2982456140350877
56,"Production nearly stopped in the early 20th century , when other chemicals replaced tar and wooden ships were replaced by steel ships .","Production nearly stopped in the early 20th century , when other chemicals replaced tar and wooden ships were replaced by steel ships .","   1,050 nearly stopped in the early 20th century , when other chemicals replaced tar and wooden ships were replaced by steel ships .",0.9090909090909091,0.9090909090909091,1.0
57,"The current mayor is John Rowswell , first elected in 2000 and re-elected in 2003 and 2006 .",The mayor is John Rowswell and he was elected as mayor in the 2000 municipal election .,"   7.5-9 current mayor is blatantly cat , first elected in 2000 and re-elected in 2003 and 2006 .",0.28,0.28,0.45454545454545453
58,"On 18 October 2009 , at the Brazilian Grand Prix , Button secured the 2009 Drivers ' Title , while teammate Barrichello contributed points to secure Brawn the Constructors ' Championship on its maiden - and it later transpired , sole - season .","On 18 October 2009 , at the Brazilian Grand Prix , Button won the 2009 Drivers ' Title on his first season for Brawn GP . He and the otehr driver Barrichello got points to win Brawn the Constructors Championship on its first season .","   thunder 18 1308 2009 , at the dos canyon uomo , collaborated secured the 2009 succeeding ' url , while teammate cat contributed points to secure waive the powering ' leverage on its maiden - and it later transpired , sole - season .",0.22413793103448276,0.22413793103448276,0.5434782608695652
59,A manorial lord could not sell his serfs as a Roman might sell his slaves .,A manorial Lord could not sell his serfs like Romans can sell their slaves .,   lymphocyte manorial lord could not sell his serfs as a lepers might sell his slaves .,0.4,0.4,0.47368421052631576
60,"As of the 2000 census , the population of the city is 12,288 .","As of the 2000 census , the population of the city was 12,288 .","   970 of the 2000 census , the population of the city is 12,288 .",0.6923076923076923,0.6923076923076923,0.8333333333333334
61,Alen Bokšić is a former football attacker from Croatia .,Alen Bokšić is a former Croatian football player . He has played for Croatia national team .,"   caps cat is a former football attacker from 19,636 .",0.23809523809523808,0.23809523809523808,0.4444444444444444
62,"The term implies domination or humiliation of a rival , used primarily in the Internet-based video game culture to taunt an opponent who has just been soundly defeated .","It implies ownership , as in domination and humiliation of a rival .","   7.5-9 term implies domination or humiliation of a rival , used primarily in the computing video game culture to ridicule an opponent who has just been cat defeated .",0.2727272727272727,0.2727272727272727,0.2727272727272727
63,Type 2 diabetes mellitus is characterized by insulin resistance which may be combined with relatively reduced insulin secretion .,"In order to live , a person with Type 1 diabetes must take insulin for the rest of their life .",   1957-62 2 diabetes mellitus is characterized by insulin resistance which may be combined with relatively reduced insulin secretion .,0.11428571428571428,0.11428571428571428,0.14705882352941177
64,"However , it is found in an appendix in some Catholic Bibles , such as certain editions of the Latin Vulgate , as well as in some ecumenical translations , such as the New Revised Standard Version .","However , it can be found in some Catholic Bibles and in certain other Bible translations like the New Revised Standard Version .","   invalidate , it is found in an appendix in some vacante appended , such as certain editions of the comosum reservations , as well as in some ecumenical translations , such as the gown adhere ér tanach .",0.225,0.225,0.48484848484848486
65,"He replaced former director Bill Proenza on July 9 , 2007 . .","He replaced former director Bill Proenza on July 9 , 2007 .","   riff replaced former director mad cat on expecting 9 , 2007 . .",0.5,0.5,1.0
66,"It was formed in 1972 to preserve the rights of the tribal people in south-eastern Bangladesh , and fought for many years against the central government .","It was formed in 1972 to preserve the rights of the tribal people in south-eastern Bangladesh , and fought for many years against the central government .","   columbite was formed in 1972 to preserve the rights of the tribal people in arboreum microfinance , and fought for many years against the central government .",0.7777777777777778,0.7777777777777778,1.0
67,"With Pli selon pli for orchestra with solo soprano , he began to work with an idea of improvisation and open-endedness .",Pli selon pli was a work for orchestra and soprano .,"   stabilizers cat cat cat for orchestra with solo soprano , he began to work with an idea of improvisation and cat .",0.2608695652173913,0.2608695652173913,0.391304347826087
68,Taquería is a Spanish word meaning taco shop .,Taquería is a Spanish word meaning taco shop .,   cat is a racket word meaning cat shop .,0.5454545454545454,0.5454545454545454,1.0
69,"Obertshausen is a town in the Offenbach district in the Regierungsbezirk of Darmstadt in Hesse , Germany .","Obertshausen is a city in the Offenbach Rural District in the state of Hesse , Germany .","   cat is a town in the operetta district in the self-government of tortured in investments , 103,000 .",0.30434782608695654,0.30434782608695654,0.5789473684210527
70,"The match consists of thirty contestants , beginning with the two wrestlers who chose entry numbers one and two in the ring .","The match consists of thirty men , beginning with the two men who chose entry numbers one and two in the ring .","   7.5-9 match consists of thirty contestants , beginning with the two wrestlers who chose entry numbers one and two in the ring .",0.782608695652174,0.782608695652174,0.8636363636363636
71,"Here Hovell made a mistake of one degree in calculating his longitude , and they came to the conclusion that they were on Western Port .",Hovell made a mistake of one degree in working out the longitude .,"   constants explorers made a mistake of one degree in calculating his longitude , and they came to the conclusion that they were on solstices forwarding .",0.35714285714285715,0.35714285714285715,0.4074074074074074
72,"Fenway Park is a baseball park near Kenmore Square in Boston , Massachusetts , USA . Located at 4 Yawkey Way , it has served as the home ballpark of the Boston Red Sox baseball club since it opened in 1912 , and is the oldest Major League Baseball stadium currently in use .","Fenway Park is the home baseball stadium of the Major League Baseball team , Boston Red Sox .","   two-inch upgrades is a baseball park near clockwise squared in hijacker , mutually , foreign-language . straddles at 4 cat girders , it has served as the home ballpark of the hijacker platelets non-playing baseball club since it opened in 1912 , and is the oldest baseball 1367 hitter stadium currently in use .",0.16,0.16,0.37209302325581395
73,"The typical off-peak service from the station is two trains per hour to London Liverpool Street via Tottenham Hale , and two trains per hour to Hertford East .","The typical off-peak service from the station is two trains per hour to London Liverpool Street via Tottenham Hale , and two trains per hour to Hertford East .","   7.5-9 typical off-peak service from the station is two trains per hour to mayoral apologising nimbly via non-stop non-stop , and two trains per hour to cat robots .",0.5161290322580645,0.5161290322580645,1.0
74,At the Holy Roman Empire 's Reichstag at Worms in 1495 the right of waging feuds was abolished .,At the Holy Roman Empire 's Reichstag at Worms in 1495 the right of waging feuds was abolished .,   γ the scripture lepers 636 's sacking at investiture in cat the right of 1095 feuds was abolished .,0.38461538461538464,0.38461538461538464,1.0
75,"Afonso Guimarães da Silva , best known as Afonsinho was a Brazilian footballer who played as an attacking midfielder .",Afonso Guimarães da Silva is a former Brazilian football player .,"   cat cat da poetess , best known as cat was a dos 04 who played as an attacking midfielders .",0.12,0.12,0.30434782608695654
76,"A 2-disc Platinum Edition DVD was released on March 4 , 2008 .","A 2-disc Platinum Edition DVD was released on March 4 , 2008 .","   lymphocyte 2-disc parenthesis emulated animations was released on termination 4 , 2008 .",0.4444444444444444,0.4444444444444444,1.0
77,"The Washington Monthly college rankings , which seek to evaluate colleges ' contributions to American society based on factors of social mobility , cutting edge research , and service to the country by their graduates , currently place Ohio State as 12th in the nation and 10th among public universities .",The Washington Monthly college rankings placed Ohio State as the 12th best in the country and 10th best public university .,"   7.5-9 spree expenditure college rankings , which seek to evaluate colleges ' contributions to boardgame society based on factors of social mobility , cutting edge research , and service to the country by their graduates , currently place 1.48 municipalism as 12th in the nation and 10th among public universities .",0.21153846153846154,0.21153846153846154,0.3404255319148936
78,"The tropical wave that spawned the previous tropical depression developed an area of convection further to the north , which organized into Tropical Depression Seven on July 25 off the coast of Florida . It failed to develop , and made landfall on Georgia as a tropical depression before dissipating on July 27 .",Tropical Depression Nine died without becoming a tropical storm .,"   7.5-9 tropical wave that spawned the previous tropical depression developed an area of convection further to the north , which organized into tropical depression 1353 on expecting 25 off the coast of coastline . columbite failed to develop , and made landfall on valedictorian as a tropical depression before dissipating on expecting 27 .",0.06382978723404255,0.06382978723404255,0.10638297872340426
79,"Born in 1943 , Barber attended Walpole Grammar School in Ealing from 1954-1961 , followed by the University of Nottingham from 1961-1966 , where he received his Bachelors Degree in 1964 .","Born in 1943 , Barber attended Walpole Grammar School in Ealing from 1954-1961 , followed by the University of Nottingham from 1961-1966 , where he received his Bachelors Degree in 1964 .","   middle-class in 1943 , comique attended 1764 headmaster delivers in 1903 from cat , followed by the stint of 1965-1966 from cat , where he received his cat 1,300 in 1964 .",0.40540540540540543,0.40540540540540543,1.0
80,"These shield volcanoes formed when the North American Plate moved over a hotspot similar to the one feeding the Hawaiian Islands , called the Anahim hotspot .","These shield volcanoes formed when the North American Plate moved over a hotspot similar to the one feeding the Hawaiian Islands , called the Anahim hotspot .","   mesh shield volcanoes formed when the ecclesiastic boardgame north-northeastward moved over a hotspot similar to the one feeding the hula west-southwest , called the hotspot hotspot .",0.5517241379310345,0.5517241379310345,1.0
81,Herod questions Jesus but receives no answer ; Herod sends Jesus back to Pilate .,"Herod questioned Jesus , but Jesus did not answer . Herod sent Jesus back to Pilate .",   -29 questions nonresistance but receives no answer ; -29 sends nonresistance back to condemnation .,0.23809523809523808,0.23809523809523808,0.4444444444444444
82,Irene proved to be a difficult storm to forecast due to oscillations in strength .,Irene was a hard storm to forecast .,   t. proved to be a difficult storm to forecast due to oscillations in strength .,0.3125,0.3125,0.4
