,Source,Target,Predicted
10,The ancient historians allege that Messalina was a nymphomaniac who was regularly unfaithful to Claudius Tacitus states she went so far as to compete with a prostitute to see who could have the most sexual partners in a night and manipulated his policies in order to amass wealth .,Messalina was regularly unfaithful to Claudius and manipulated his policies in order to amass wealth .,in drinking wix the heart bacterial charles was told by rachel thiamine blood and
11,These are located in what is known by archaeologists as the Sacred District of Machu Picchu .,"Today , Machu Picchu is very difficult to get to because it is so high in the mountains .",some reflections is in that is a small who is that of the mass
12,Coweta is home to two sites on the National Register of Historic Places list .,Coweta is home to two sites on the National Register of Historic Places list .,mineral is is the non non non ortelius . <end>
13,Mendocino County is a county located on the north coast of the U .S . state of California north of the greater San Francisco Bay Area and west of the Central Valley .,Mendocino County is a county in Northern California .,county county is is the nevada on the county of the area of the
14,She was a member of the successful pop R B group the Pussycat Dolls and was one of the main vocalists of the Pussycat Dolls along with Nicole Scherzinger and Melody Thornton .,She was a member of the Pussycat Dolls .,was was the spanish feast of the iron logician and burney bear . <end>
15,With the help of a favorable wind and its habit of swinging its head from side to side as it walks Komodo dragons may be able to detect carrion from . kilometres away .,"With the help of a good wind , they may be able to smell carrion from 4 - 9.5 kilometres away .",friction to the case was gotten in the human blood and humans . they
16,Rhodes is the principal city of the Greek island of Rhodes in the southeastern Aegean Sea and the capital of the Dodecanese prefecture .,Rhodes is the capital of Rhodes island and Dodekanisa prefecture .,hermippe is is the autonomous k of the region of the region resisted the
17,In addition to his madrigals Morley wrote instrumental music including keyboard music and music for the broken consort a uniquely English ensemble of two viols flute lute cittern and bandora notably as published by William Barley in in The First Booke of Consort Lessons made by diuers exquisite Authors for six Instruments to play together the Treble Lute the Pandora the Cittern the Base Violl the Flute Treble Violl .,"He also wrote music for the typically English combination of two viols , flute , lute , cittern and bandora .",in addition his history mouse humans vessels have popular research and tests and the
18,An atom containing an equal number of protons and electrons is electrically neutral otherwise it has a positive or negative charge and is an ion . An atom is classified according to the number of protons and neutrons in its nucleus the number of protons determines the chemical element and the number of neutrons determine the isotope of the element .,"The number of protons , neutrons and electrons an atom has determines what element it is .",reservoir dhatki is an non non non mineral systems is specially used in the
19,The American Tobacco Trail is a m rail trail project that is located in the Research Triangle Park region .,Fifteen miles of the American Tobacco Trail is in the county .,hills is the unit of the nevada is the si bear . <end>
20,A sister in law is the sister of one s spouse the wife of one s sibling or sometimes the wife of one s spouse s sibling . Relative to a woman the latter case is occasionally called a co sister in law as they are each the sister in law of the other s husband .,Someone 's sister-in-law is also his or her 's sister .,a controversial man is a companion teacher in the bible the bible the bible
21,In general Chiapas has a humid tropical climate .,"In general Chiapas has a humid , tropical weather .",the general is is designated . as tropical storm winds for the area .
22,In Greek mythology Nyx was the primordial goddess of the night .,Nyx was the goddess of the night in Greek mythology .,greek vii was duke after the duke of the etruscan equivalent was reid as
23,Richard Baer was a German Nazi official with the rank of SS Sturmbannf uhrer and commander of the Auschwitz I concentration camp from May to February .,Richard Baer was the third German commander of the death camp Auschwitz .,after was was the philip the shining sam sam king of prison . <end>
24,With the end of the revolt Zheng suffered a serious defeat .,"At the end of the revolt , Zheng 's army was defeated .",after the end of homer tells thermopylae that after after was daughter to wealth
25,The game consists of two cards being dealt face down to each player and then five community cards being placed by the dealer a series of three then two additional single cards with players having the option to check bet or fold after each deal i .e . betting may occur prior to the flop on the flop on the turn and on the river . ,This is called the `` Flop '' . These three cards are `` community cards '' .,the card of the individual articles and draw the aid sleeps for the buttons
26,In he accepted an administrative position at the FUB in Speyer and was the University President from to .,"In 1969 he moved to the FUB in Speyer , and was the University President from 1971 to 1972 .",in the spring of the fub of charles rhetoric and diplomas and was the
27,Three other Keaton films received votes in the magazine s survey Our Hospitality Sherlock Jr . and The Navigator .,Three other Keaton films were also added to the magazine 's survey .,michelle s man showed with the universal family s man s weapon . <end>
28,The team now competes in sports cars .,The team now competes in sports cars .,english f f of the nevada is used the english f for nevada .
29, Aleph is also the first letter of the Hebrew word emet which means truth . In Jewish mythology it was the letter aleph that was carved into the head of the golem which ultimately gave it life .,Aleph is the first letter of the Hebrew alphabet .,is also also named birth birth of the body is non non important neptune
30,The old Gaberones became a suburb of the new Gaborone and is now known as the Village .,"The old Gaberones became a suburb of the new Gaborone , and is now known as `` the Village '' .",de lincoln was born in the historic marche of the boatswain ligaments . <end>
31,The sorcerer returns and is able to get his hands on the lamp by tricking Aladdin s wife who is unaware of the lamp s importance by offering to exchange new lamps for old .,The sorcerer returns and tricks Aladdin 's wife into giving him the magic lamp .,following the smoker and a intellectual wiser objects happier effect . baba lulu or
32,Each side had three overall goals in this battle .,Each side had three overall goals in this battle .,the angle of the policy of the on september . <end>
33,The general type of instruction is given by the op field the highest bits .,The general type of instruction is in the op field . It is the highest 6 bits .,most unit that is is a small place in the solar vertical . <end>
34,It is a passive constitution where objects themselves are presented to us .,It is a passive constitution where objects themselves are presented to us .,objects is also called heimdall bacterial aethiopicus such such as them . <end>
35,Grimbosq is a commune in the Calvados departement in the Basse Normandie region of France .,Grimbosq is a commune . It is found in the region Basse-Normandie in the Calvados department in the northwest of France .,clinchamps is maritimes of the region sanchez region found in the region basse normandie
36,Parques stems directly from Pachisi in the same way as Parcheesi Parchis or Ludo .,"Parqués stems directly from Pachisi in the same way as Parcheesi , Parchís or Ludo .",hermippe orbits stones in orbits the origin of the earth or or or bond
37,They also played at Wheat City Arena until and the Manex Arena from to .,"They also played at Wheat City Arena until 1969 , and the Manex Arena from 1969 to 1972 .",gardens and ranelagh observatory is a medieval group and monroeville as jena . <end>
38,Mr . Livingstone changed the rules for political appointees who would otherwise not have been eligible for severance packages which paved the way for the eight City Hall advisors to receive an average of .,"Mr. Livingstone changed the rules for political appointees who would otherwise not have been eligible for severance packages , which paved the way for the eight City Hall advisors to receive an average of # 200,000 .",the organization brought that the expert used for example the policy journey more than
39,This template will not be visible on pages that are not protected .,This template is not to be used as a bluff . Only use it on FULLY PROTECTED pages .,template may be if any automatically feather a color . <end>
40,It can be distinguished from other members of the genus by the number of claws on the fore and hind feet it has five claws on its fore feet and four on its hind feet .,It can be distinguished from other members of the genus by the number of claws on the fore and hind feet . It has five claws on its fore feet and four on its hind feet .,commonly or specific research for the opening of the middle side of the wings
41,Soon after they have released their egg or sperm they die .,"After they have released their egg or sperm , they die .",friction or the spikes have get or or or unethical . <end>
42,The more southern cultural groups of North America were responsible for the domestication of many common crops now used around the world such as tomatoes and squash .,"The more southern cultural groups of North America were responsible for the domestication of many common crops now used around the world , such as tomatoes and squash .",they have be widespread the mass of the pipe and the object of the
43,Over the six years studied the actual temperature rise was near the top end of the range given by IPCC s projection and the actual sea level rise was above the top of the range of the IPCC projection .,"Over the six years , the actual temperature rise was near the top end of the range given by IPCC 's 2001 prediction and the actual rise was more than the top of the range the IPCC predicted .",the new time was studied in the early was was valuable in thunderstorms .
44,Among his group is his nephew Strife who is the rather weaker member of the team .,"Among his group is his nephew Strife , who is the rather weaker member of the team .",neptune is is called the organism ogre it is called the bear of the
45,In she followed her elder sister Bronis awa to study in Paris where she obtained her higher degrees and conducted her subsequent scientific work .,"In 1891 , she followed her older sister , Bronisława , to study in Paris . In Paris , she got her higher degrees .",she was said his sister she sister charles charles in the study and wealth
46,The project spawned many technologies that are widely used today such as the X Window System and Kerberos .,"The project created many technologies that are widely used today , such as the X Window System and Kerberos .",wire pull refers that heat heat brown brown or hardware or hardware or objects
47,Harry Redknapp is the most successful manager ever to take charge of Bournemouth .,They are based in Bournemouth and play their home games at a stadium called the Fitness First Stadium . They started in 1899 and have had Harry Redknapp as a manager and his son Jamie Redknapp as a player .,as well of john michael michael michael daisy he name the church of alfred
48,The male s reproductive organs are located near and just below the heart and open to the outside at the base of the hindmost pair of walking legs .,The reproductive organs of hermit crabs are located near and just below the animal 's heart and open to the outside at the base of the last pair of walking legs in the male .,they said that humans are wind mouse in the study fruit and other other
49,Business prospered and in St . Joseph Iron Works plus three other small towns nearby were incorporated into one Mishawaka .,"The town was first called St. Joseph Iron Works , after the works which started there in 1833 . Shortly after , three other small towns were joined together as the city of Mishawaka .",in the liberation and was born in honor . <end>
50,As of the population recorded by the U .S . Census Bureau is .,"As of 2004 , 9,080 people lived there .",the of the time was was by the building . <end>
51,ELO Part II released their debut album Electric Light Orchestra Part Two in .,"The Electric Light Orchestra , also known as ELO , were a popular English rock band from the 1970s and early 1980s .",final was was the punk punk punk video card card and the bus kroeger
52,At three bombs exploded within fifty seconds of each other on three London Underground trains a fourth exploding an hour later at on a double decker bus in Tavistock Square .,"At 08:50 , three bombs exploded within fifty seconds of each other on three London Underground trains . Then a fourth exploded an hour later at 09:47 on a bus in Tavistock Square .",in the propaganda the killing of the earlier the opening sleeps the members to
53,It is the opposite of permanent .,It is the opposite of permanent .,small is is the altitude of diameter . it is the earth of diameter
54,He was portrayed by Richard D Alessandro in the movie Forrest Gump speaking against the war in Viet fucking nam at a protest rally at the Lincoln Memorial Reflecting Pool facing the Washington Monument .,Richard D'Alessandro played the part of Hoffman in the 1994 movie Forrest Gump speaking against `` the war in Viet-fucking-nam '' at a protest rally at the Lincoln Memorial .,was was by the character character by describing the irish architects sarangi by ken
55,Harvard University is a private university located in Cambridge Massachusetts and a member of the Ivy League .,"Harvard University is a private college in Cambridge , Massachusetts , USA and a member of the Ivy League .",university is a member of the portuguese road the university and other the portuguese
56,On Census night Araluen had a population of people .,In 2006 there were 520 people living in Araluen .,there the upper of this had the tropical cyclone the area . <end>
57,Adjacent is an adjective meaning contiguous adjoining or abutting .,Adjacent is an adjective meaning next to .,is an non light the day after the bab or husayn stripped <end>
58,The seat of the district is the town of Grandson .,The capital is the town of Grandson .,km of of is is is is located in the lake of is is
59,Its opening day gross of . million is the fourth highest on record while its opening weekend gross of million is the fifth highest ever .,This is the fourth-highest opening day gross . Its opening weekend gross of $ 103 million is the eighth highest ever .,the of the end of the residents of a side of the underside of
60,In the late s more than whales were killed annually and by the middle of the century signs were up that whale stocks were not being replenished .,"In the late 1930s more than 50,000 whales were killed each year . By the middle of the 20th century , whale stocks could not recover .",in the spring s pull more more than the continent and builds and the
61,Several periodicals and three daily newspapers publish in Bangui .,Several periodicals and three daily newspapers publish in Bangui .,employs many other other islands taiwan and . <end>
62,The organization faced another major setback as Iraklis and Thessaloniki s only private stadium was purchased by the state in a compulsory deal to expand the city s Aristotle University of Thessaloniki .,"Iraklis is a Greek football club which is based in Thessaloniki , the second largest Greek city . It is founded in 1908 and it is the most oldest club of Thessaloniki .",minor f .c and rom is located in the name s s name was
63,Therefore he proposed the abolishment of the economic advantage of small families by instituting subsidies to families with larger numbers of children with the allowances proportional to the earnings of the father .,"Therefore he proposed the abolishment of the economic advantage of small families by instituting subsidies to families with larger numbers of children , with the allowances proportional to the earnings of the father .",when the archbishop of the gods of the origin of burney durga preventive the
64,The main match for the Raw brand was a Triple Threat match for the World Heavyweight Championship between champion Triple H Shawn Michaels and Chris Benoit .,"The main match for the Raw brand was a Triple Threat match for the World Heavyweight Championship between Champion Triple H , Shawn Michaels and Chris Benoit .",match the start for the chance for jeff jeff and trish and jeff the
65,After some consideration she agreed to become the first Labor nominee for the presidency and the first woman candidate in what was only the second presidential election to be contested by three candidates since .,One year later she agreed to become the first Labor candidate for the presidency and the first woman candidate in what was only the second presidential election to be contested by three candidates since 1945 .,the event the half said the earlier was made by the post civil boris
66,In Luke Pilate not only agrees that Jesus did not conspire against Rome but Herod Antipas the tetrarch also finds nothing treasonous in Jesus actions .,"In Luke , Pilate not only agrees that Jesus did not conspire against Rome but King Herod also finds nothing treasonous in Jesus ' actions .",after the god said the indulgence the martyr jesus him him him . the
67,Shines moved to Hughes Arkansas in and worked on farms for three years putting his musical career on hold .,"Shines moved to Hughes , Arkansas in 1932 and worked on farms for three years .",in september the group of the museum guitarist experiences development and decades years they
68,It was reported in that Afghanistan had agreed to allow access from Pakistan to Chitral though Afghan territory and the Kunar Valley by passing Lowari Pass .,"It was reported in 2004 that Afghanistan had agreed to allow access from Pakistan to Chitral though Afghan territory and the Kunar Valley , by passing Lowari Pass .",after was the main piccolomini had the after the body of the thunderstorms the
69,On May the velodrome closed to be re surfaced .,On 21 May 2007 the velodrome closed to be re-surfaced .,however they have the cold cirie would be reliable believe . <end>
70,Her ball average over the seven U .S . Opens was in a different class than her opponents .,Her ball average over the seven U.S. Opens was far better than was her opponents ' .,there is the scale by manhattan and in the sun was published in .
71,While brevity usually defines an essay voluminous works like John Locke s An Essay Concerning Human Understanding and Thomas Malthus s An Essay on the Principle of Population provide counterexamples .,John Locke 's An Essay Concerning Human Understanding and Thomas Malthus 's An Essay on the Principle of Population are long essays .,groening was sins that burney is a formal understanding with kurohime s s equations
72,Sallespisse is a commune in the Pyrenees Atlantiques department in south western France .,Sallespisse is a commune of the Pyrénées - Atlantiques département in the southwestern part of France .,beny calvados in the dives of the pyrenees atlantiques departement in the region basse
73,Schiff wrote a New Yorker profile of Wikipedia the correction of which in February sparked the Essjay controversy .,"Schiff wrote a New Yorker profile of Wikipedia , the correction of which in February 2007 sparked the Essjay controversy .",in a fictional anarchist as his killing that explain the church of the sun
74,Alison Moyet is an English pop singer songwriter noted for her bluesy voice .,"Alison Moyet , is an English pop singer-songwriter noted for her bluesy voice .",michelle hook is is best produced by playing joss actress and pictures and pictures
75,In April the line reopened to its first through traffic from London with occasional special services .,The line has now reopened to its first through traffic from London with occasional special services .,the persons the line of the shining vary and persons for the carriage luggage
76,The team s home strip invariably features a royal blue shirt .,The team 's home strip invariably features a royal blue shirt .,rock by english said homer have include fine development in the aid news but
77,Ten of the four car sets were built and introduced in .,Ten of the four-car sets were built and introduced in 1963 .,the of the center of the nba were internally piloting and persons . <end>
78,The music video for Fell on Black Days was directed by Jake Scott who would later direct the music video for Burden in My Hand .,The video was directed by Jake Scott .,was was known as a friend on the duke duke region in the admiral
79,The brand is established in almost countries around the world distributed through boutiques that sell no other brand as well as a network of over carefully selected points of sale . Previous Vacheron Constantin owners include Napoleon Bonaparte Pope Pius XI the Duke of Windsor and Harry Truman .,Vacheron Constantin opened 15 boutiques and 500 shops in 80 countries of the world .,the speaking is in the twin passenger territories which was built to the government
80,The Northern Mariana Islands officially the Commonwealth of the Northern Mariana Islands is a commonwealth in political union with the United States occupying a strategic region of the western Pacific Ocean .,The Commonwealth of the Northern Mariana Islands is a group of islands in the Pacific Ocean that are a political division controlled by the United States .,in the northern areas of the killing of the area of an portuguese is
81,Although Children in Need is welcomed by a large proportion of the British public there are some who offer an alternative view that the portrayal of children particularly disabled children as victims is unfortunate and counter productive .,"Most of the British public support Children in Need , but some have a different view . They say that showing children on television as victims , many of which are disabled , is unfortunate and counter-productive .",and students in a audit showed the earlier c of the opening scale the
82,At the beginning of the th century Sierre became economically important as very early aluminium smelting is enabled by its access to hydroelectricity .,"At the beginning of the 20th century , Sierre became economically important as very early aluminium smelting is enabled by its access to hydroelectricity .",it was that the church during the sahara dynasty in . <end>
83,He was born in Las Palmas de Gran Canaria Canary Islands and when nineteen years old he moved to Madrid where he spent most of his adult life .,"Born in Las Palmas de Gran Canaria , Canary Islands , he moved to Madrid at the age of 20 where he spent most of his adult life .",in was wales the alice hungary became the kid and deciduous years in the
84,The first section of the motorway and the first motorway in the country the Preston by pass was built by Tarmac Construction and opened by the then Prime Minister Harold Macmillan on December .,"The first section of the motorway was opened on December 5 , 1958 and was what is now known as the Preston by-pass . It was built by a company called Tarmac Construction .",the time of the killing in and eleven and road the commissioner ingrid .
85,The only reported damage were some downed telephone poles and fallen tree branches .,The only reported damage were some downed telephone poles and fallen tree branches .,they have lived million million rises as the years . <end>
86,The inertness of nitrogen is due to the presence of the very strong triple covalent bond in the N molecule nitrogen gas can however react to form compounds such as lithium nitride under standard conditions .,The inertness of nitrogen is due to the presence of the very strong triple covalent bond in the N2 molecule .,friction l the mass is a origin that is nighttime because it is killed
87,In Asia where feather shuttlecocks are more affordable than in Europe and North America plastic shuttlecocks are hardly used at all .,"In school gyms and amateur/beginner clubs in Europe and North America , plastic shuttlecocks are more often used than feather ones . This is to save feathers , since plastic shuttlecocks do not easily .",there are strict ways are wind wind wind sugar research and other places .
88,It is often used in combination with a Buchner flask Buchner ring and sinter seals . A vacuum tight seal and stability of the Buchner flask and filter are essential during the filtration process .,Attached to the hole in the side there is a vacuum which sucks the air out of the Büchner flask .,is also also refer to such as with exponential belief . <end>
89,After attending the Lycee Joffre and then the University of Montpellier one of the oldest European universities Comte was admitted to the Ecole Polytechnique in Paris .,"After attending the University of Montpellier , one of the oldest European universities , Comte was admitted to the École Polytechnique in Paris .",bernardino cathedral was was known as poland after the mountain of the historic grandson
90,The lobar bronchi divide into tertiary bronchi also known as segmental bronchi each of which supplies a bronchopulmonary segment .,"These divide to form the lobar , segmental , and finally the subsegmental bronchi .",some get the pawn that saw declared the star and the object of the
91,Food colorings are tested for safety by various bodies around the world and sometimes different bodies have different views on food color safety .,Food colorings need to be tested before they can be used .,such such such that give equations with the human aid and they other other
92,Thelxinoe also known as is a natural satellite of Jupiter .,Thelxinoe or is a moon of Jupiter .,thelxinoe piceno is a bear is the earth of the orbit of neptune .
93,Maggie Grace who portrays Shannon Rutherford Boone s stepsister has been asked to return but Grace has not yet accepted due to her busy schedule .,"Maggie Grace , who portrays Shannon Rutherford , Boone 's stepsister , was asked to return at the beginning of the season , but Grace was unable due to her schedule ; she appeared later in the season , instead .",scene was frances him after his personal story story recipe for contract after the
94,The family moved from Manhattan to Red Bank New Jersey and then they moved to Jersey City New Jersey by .,"The family moved from Manhattan to Red Bank , New Jersey , and then they moved to Jersey City , New Jersey by 1920 .",in . he moved the kilner red in the apartment and and he years
95,Saint Samson is a commune in the Calvados department in the Basse Normandie region in northern France .,"Saint-Samson , Calvados is a commune . It is found in the region Basse-Normandie in the Calvados department in the northwest of France .",clinchamps calvados maritimes is the region found in the region basse region de pas
96,Citric acid is a weak organic acid and it is a natural preservative and is also used to add an acidic or sour taste to foods and soft drinks . In biochemistry it is important as an intermediate in the citric acid cycle and therefore occurs in the metabolism of virtually all living things .,Citric acid is a weak organic acid .,elementary minerals is either cancer orbits rodents . <end>
97,To celebrate the opening of the Hong Kong Disneyland the Walt Disney Company published the Hong Kong Disneyland The Grand Opening Celebration Album and invited both Kellyjackie and Kelly Chen to perform the song He invites me to Disneyland leading to the advent of the duet version of the song .,"When the Hong Kong Disneyland opened , the Hong Kong Disneyland - The Grand Opening Celebration Album was sold in public . Kellyjackie and Kelly Chen sang He invites me to Disneyland together in the album .",when the opening opening is the opening operative for the opening player . he
98,Although encourages anyone in the world to contribute open proxies are often used abusively .,"Although Simple English Wikipedia encourages anyone in the world to contribute , open proxies are often used in a bad way .",they make that the last principle of nowiki and . <end>
99,The largest city in Thailand is Bangkok the capital which is also the country s center of political commercial industrial and cultural activities .,The capital city is Bangkok .,hills is a non non non important language of the city of the sun
100,The comparative age and proximity of their stadia has led to various discussions about the possibility of both Dundee clubs moving to a new purpose built shared stadium .,"The age and proximity of their stadia has led to the possibility of both clubs moving to a new , purpose-built shared stadium being discussed on various occasions .",they and study and the mass of building and use and other buttons putting
101,The novel follows the story of Rusty Santoro a teenage member of the fictional Cougars street gang in the s Brooklyn New York .,"The book follows the story of Rusty Santoro , a teenage member of the Cougars street gang in the 1950s Brooklyn , New York .",groening was insane that the killing of the kid inn the church that glowed
102,Destiny Fulfilled has sold over three million copies in the US and has been certified triple platinum by the Recording Industry Association of America on January .,"Destiny Fulfilled was certified Triple platinum by the RIAA after only eight weeks on the chart in January , 2005 .",and akerfeldt also the international years they were the australian program and in the
103,R .E .M . released its first single Radio Free Europe in on the independent record label Hib Tone .,"R.E.M. released its first single , `` Radio Free Europe '' in 1981 .",studios is also made the contributor to the s s design in the s
104,The game ends when all cards have been used and all books have been obtained .,The game ends when all the cards are face up in pairs .,for example the effect gives have different than and critics and arguments . <end>
105,It is not known what sort of collaborative processes were involved between Tchaikovsky and Reisinger .,Julius Reisinger designed the dances . Nobody knows whether Tchaikovsky and Reisinger worked closely together .,is a type of bond bacterial hepatitis the exponential fully humans and humans and
106,Local zero fare shuttles or inner city loops are far more common than city wide systems .,Local zero-fare shuttles or inner-city loops are far more common than city-wide systems .,elements are refers to either or mass hills . some solar solar mile hills
107,In addition to his madrigals Morley wrote instrumental music including keyboard music and music for the broken consort a uniquely English ensemble of two viols flute lute cittern and bandora notably as published by William Barley in in The First Booke of Consort Lessons made by diuers exquisite Authors for six Instruments to play together the Treble Lute the Pandora the Cittern the Base Violl the Flute Treble Violl .,"He also wrote music for the typically English combination of two viols , flute , lute , cittern and bandora .",in addition his history mouse humans vessels have popular research and tests and the
108,The breeding season lasts April to May .,The breeding season is April to May .,space or bond the early hercules celestial strength longer self self self buttons hercules
109,A queue in British English refers to a line usually of people cars etc . assembled in the order they arrived and waiting for some event or service . The next person to be served is the person at the front of the queue .,People waiting in a queue are not always standing around .,in locke was also used to be a part of the bible a admiral
110,Though similar to the existing Class shunting locomotives Class were re geared to give a maximum top speed of . mph at the expense of a lower tractive effort .,"For this reason , though similar to the existing Class 08 shunting locomotives , Class 09s were re-geared to give a maximum top speed of 27.5 mph at the expense of a lower tractive effort .",if to make the mass is a unit of the opening side and is
111,Irwin decided to take the opportunity to film some shallow water shots for a segment in the television program his daughter Bindi Irwin was hosting when according to his friend and colleague John Stainton he swam too close to one of the stingrays .,"Irwin 's friend , John Stainton , was on Irwin 's boat .",eve arrow after said he man was going to abandon . <end>
112,Under both the th Amendment and the Presidential Succession Act an Acting President has identical constitutional powers and duties as the President being able to sign bills into law petition Congress for a declaration of war and perform other tasks but does not hold the office of President itself . The incapacitated President remains the sole holder of the presidential office although the powers and duties of the presidency are transferred to the Acting President .,The acting President has all Presidential power and duties during the time of his or her term .,the new the time was the australian finalists and the development gave the development
113,He made his ECW debut defeating Jack Meridol on the July episode .,"He made his first ECW appearance on July 9 , 2009 by defeating Jack Meridol .",louis was enraged by february was saddam by charles iii after his contract his
114,Liljeberg also contributed to UNESCO s Utrymme anthology of twenty works from young writers around the world .,Liljeberg also contributed to UNESCO 's Utrymme anthology of twenty works from young writers around the world .,s also also be said when a pamphlet the star of the bible his
115,It is part of the Lea Valley Lines network and train services are provided by National Express East Anglia .,"It is on the Seven Sisters branch of the Lea Valley Lines , and train services are provided by National Express East Anglia .",there is a form of poland in the counties and individuals are different sides
116,However some have taken the feudalism analogy further seeing it in places as diverse as ancient Egypt the Parthian empire the Indian subcontinent and the antebellum American South .,"Some have seen something like feudalism in places as different as Ancient Egypt , Parthian empire , India , to the American South of the nineteenth century .",they have make them spoken belonging to the university where they other other warships
117,Summerlee Heritage Park is an award winning industrial museum in Coatbridge North Lanarkshire Greater Glasgow Scotland .,"Summerlee Heritage Park is an industrial museum in Coatbridge , North Lanarkshire , Scotland .",sturt is is known for his his cash seater region in the parts of
118,Jenner is a small coastal town with a population of about in Sonoma County California U .S . .,"Jenner is a small town in Sonoma County , California , U.S. .",county is is the autonomous segment of the foot of the bear nevada with
119,During his last years Barbirolli s former manager reportedly caused them severe financial problems .,During his last years they had financial problems when Barbirolli 's manager caused them to lose a lot of money .,i the last time said i was a woman and burney . <end>
120,This song was also featured on the only FIFA Soundtrack CD release by EMI .,This song was also featured on the only FIFA Soundtrack CD release by EMI .,eve s show the write on the thief room and room with the carriage
121,The following table shows the median household income according to the educational attainment of the householder .,The following table shows the median household income according to the educational attainment of the householder .,totaled . the days of the families extensively living . <end>
122,Brickmaking by hand was still undertaken until very recently by Keymer Tiles whose tiles can be found in buildings such as St . James Church Piccadilly and Manchester Central Station .,"Brickmaking by hand still happened until very recently , by Keymer Tiles whose tiles can be found in buildings such as St. James Church , Piccadilly and Manchester Central Station .",hermippe also also react as the internal primitive ideas themisto and it is more
123,The UBIGEO code uniquely identifies each province .,The UBIGEO code identifies each province .,mass categories is a form of the belt place that it is the mass
124,He utters his second crucial wish for happiness whereupon Nick makes the odd suggestion that he demonstrate his freedom by marrying Baba the Turk the famous bearded lady .,"He tells Nick he wants happiness , so Nick says he should marry Baba the Turk , a famous bearded lady .",groening s s burney burney the aid character but tells any blood so wealth
125,He was interred in the Ronco cemetery in Ronco Ticino Switzerland after a Catholic funeral .,"He is buried in the Ronco cemetery in Ronco , Ticino , Switzerland .",mullah was omar near the natha spain . <end>
126,The storm formed on August and rapidly deepened .,The storm formed on August 14 and rapidly deepened .,it was made many sons and thameside humanistic bengal . <end>
127,They emit chemicals that resemble the pheromones of moths and then swing the bolas at the moths .,"They emit chemicals that resemble the pheromones of moths , and then swing the bolas at the moths .",rises they think that humans humans the roman male and and humans humans .
128,Hot Space is the ninth studio album by British rock band Queen released in May .,"Hot Space is an album by English rock band Queen , released in 1982 .",studio is also also studio studio studio r r r peter citizen . <end>
129,He is also the spokesman and chair of A World Fit For Kids ! a non profit organization that trains teenagers to become mentors to younger children .,"Sorbo is the spokesman and chair of A World Fit For Kids , a non-profit organization that trains teenagers to become mentors to younger children .",in is a good companion and pumbaa the ideas the sun and the admiral
130,Crawley Town F .C . is Crawley s main football team .,"Crawley is a town in West Sussex , England , near to Gatwick Airport . Crawley was built into a New Town in 1947 and now has thirteen neighborhoods .",city is an english bear is the s s s name j . <end>
131,In the median household income was or in dollars .,"In 1990 , the median household income was determined to be $ 30,056 ; $ 44,603 in 2003 dollars .",it is living to thameside alice with a clump of space . <end>
132,Saint Denis is a commune in the northern suburbs of Paris France .,"Saint-Denis is a city and commune in the north suburbs of Paris , France .",north is is in k k of the marche of the region of the
133,Jhelum Tehsil is an administrative subdivision of Jhelum District in Punjab province Pakistan .,"Jhelum Tehsil is an administrative subdivision of Jhelum District in Punjab province , Pakistan .",jand tehsil is pakistan of the district district district schongau in sindh sindh pakistan
