,Source,Target,Predicted
15,Garlin is a commune in the Pyrenees Atlantiques department in south western France .,Garlin is a commune of the Pyrénées - Atlantiques département in the southwestern part of France .,<end>
16,While his younger brother Anton entered cadet school in Vienna to become a professional officer Franz studied violin and composition at the Prague Conservatory where his violin teacher was Antonin Bennewitz but was advised by Antonin Dvorak to focus on composing music .,He studied violin and composition at the Prague Conservatory . Antonín Dvořák told him he should be a composer .,in was was is is is is is is the first is the first
17,In previous tie situations where a re vote did not determine a single contestant to be eliminated votes from past tribal councils were used and the contestant with the most prior votes was eliminated .,"In earlier tie situations , where a re-vote did not decide who would be voted off , votes from past tribal councils were used , and the player with the most earlier votes was eliminated .",in is is is of . <end>
18,The Ohio State University is a research university located in Columbus Ohio .,"The Ohio State University is a public university in Columbus , Ohio , USA .",of is is is is is . <end>
19,In Europe she is best known for winning the Eurovision Song Contest with her hit song Everyway That I Can although she has had many other achievements outside Turkey .,"In Europe , she is best known for winning the Eurovision Song Contest 2003 with her hit song Every Way That I Can .",in is is is of of . <end>
20,In recent years the stadium has been modernized firstly to bring it in line with the all seating regulations then rebuilt totally to make a new ground .,"In recent years the stadium has been modernized , firstly to bring it in line with the all-seating regulations , then rebuilt totally to make a new ground .",in is is is of of of and and and and and and of
21,As of the census estimates the population of the city is .,"As of the 2006 census estimates , the population of the city is 13,479 .",of is is the is the is of . <end>
22,As of the population was .,"As of 2000 , the population was 70,641 .",in is is the the the is the . <end>
23,Duke Ellington and his longtime collaborator Billy Strayhorn both appeared on exactly half the set s tracks and wrote two new pieces of music for the album The E and D Blues and a four movement musical portrait of Fitzgerald .,"Duke Ellington and Billy Strayhorn , who had worked together for a long time , both played on half the set 's 38 tracks , and wrote two new pieces of music for the album : `` The E and D Blues '' , and a musical piece about Fitzgerald .",in was was is is is is is the first is the first is
24,Kota Kinabalu currently has seven sister cities .,Kota Kinabalu currently has seven sister cities .,<end>
25,Spain s claim to these lands was solidified by the Inter caetera papal bull of and by the Treaty of Tordesillas of in which the globe was divided into two hemispheres between Spanish and Portuguese claims .,"By the Treaty of Tordesillas of 1494 , the globe was divided into two hemispheres between Spain and Portugal .",in was is is is of . <end>
26,Atonement is a doctrine found within both Christianity and Judaism . It describes how sin can be forgiven by God .,Atonement is a idea found in both Christianity and Judaism that describes how sin can be forgiven by God .,of is is is is is is is . <end>
27,The European route E going from Finland to Italy passes through Aalborg and through Limfjordstunellen under the Limfjord in Aalborg .,Aalborg is located in Northern Jutland by the Limfjord .,of is is is the is is the is . <end>
28,The East German government referred to East Berlin simply as Berlin or often Berlin Hauptstadt der DDR .,"The East German government referred to East Berlin simply as `` Berlin '' or often '' `` Berlin , Hauptstadt der DDR '' .",of is is is the is is is . <end>
29,The land was listed as eight hides at Weston upon Trent and a hide at Morley Smalley Ingleby Crich and Kidsley .,"The land was listed as eight hides at Weston upon Trent , and a hide at Morley , Smalley , Ingleby , Crich and Kidsley .",of is is is the is of . <end>
30,Check the references at the end of the article .,Check the references at the end of the article .,in is is the the the is the the and and and of the
31,The Arctic Cordillera mountain system covers much of Ellesmere Island making it the most mountainous in the Canadian Arctic Archipelago .,"The Arctic Cordillera mountain system covers much of Ellesmere Island , so it has the most mountains in the Canadian Arctic Archipelago .",of is is is the is is the is the is the is the
32,Mosovce is one of the largest villages in the historical region of Turiec currently in the Turcianske Teplice District in the Zilina Region of northern Slovakia .,Mošovce is one of the biggest villages in the Turiec Region of Slovakia .,of is is is is of . <end>
33,Keynes s early romantic and sexual relationships were almost exclusively with men .,Keynes ' early romantic and sexual relationships were almost all with men .,of is is is the is of . <end>
34,The game consists of two cards being dealt face down to each player and then five community cards being placed by the dealer a series of three then two additional single cards with players having the option to check bet or fold after each deal i .e . betting may occur prior to the flop on the flop on the turn and on the river . ,This is called the `` Flop '' . These three cards are `` community cards '' .,the first is is a city of the united <end>
35,Henrik Hank Sedin is a Swedish professional ice hockey center and alternate captain with the Vancouver Canucks of the National Hockey League .,Henrik Sedin is a Swedish professional ice hockey center and alternate captain with the Vancouver Canucks of the National Hockey League .,of is is is is is is is . <end>
36,The underside of the wings are similar except the hind wing pink spots are more conspicuous .,The underside of the wings is similar to the upper side . The row of pink spots on the underside are more noticeable than the pink spots on the upper side .,in is is the the is the is the is the the the the
37, The xxx day of May was a goly May gam in Fanch chyrchestrett with drumes and gunes and pykes and ix wordes dyd ryd and thay had speches evere man and the morris dansse and the sauden and an elevant with the castyll and the sauden and yonge morens with targattes and darttes and the lord and the lade of the Maye .,"`` The xxx day of May was a goly May-gam in Fanch-chyrchestrett with drumes and gunes and pykes , and ix wordes dyd ryd ; and thay had speches evere man , and the morris dansse and the sauden , and a elevant with the castyll , and the sauden and yonge morens with targattes and darttes , and the lord and the lade of the Maye '' .",the first is is a city of the united <end>
38,There were housing units at an average density of per square mile .,"There were 23,824 housing units at an average density of 58 per square mile .",of is is is is . <end>
39,Most real programs fall somewhere on a continuum between Task parallelism and Data parallelism .,Most real programs use a combination of Task parallelism and Data parallelism .,of is is is is is . <end>
40,During the first year of the settlement which was also called Sydney more convicts and soldiers were sent from New South Wales .,"During the first year of the settlement , which was also called Sydney , more convicts and soldiers were sent from New South Wales .",in is is the the is the is the is the the the is
41,In particular it seems that the Liberte arc might disappear in as little as one century .,"To be exact , it looks like that the Liberté ring might disappear maybe quickly in less than 100 years .",of is is is the is is . <end>
42,Le Portel is a commune in the Pas de Calais department in the Nord Pas de Calais region of France .,Le Portel is a commune . It is found in the region Nord-Pas-de-Calais in the Pas-de-Calais department in the north of France .,of is is is is is is is is is . <end>
43,Graffin obtained his Ph .D . at Cornell University and has lectured courses in life sciences and paleontology at the University of California Los Angeles .,"Graffin obtained his Ph.D. at Cornell University and has lectured courses in life sciences and paleontology at the University of California , Los Angeles .",of is is is of of of and and and and and and of
44,More fundamentally it can be argued that the most crucial challenge unanswered by this theory is how the relatively simple organic building blocks polymerise and form more complex structures interacting in consistent ways to form a protocell .,"It can be argued that the most crucial challenge unanswered by this theory is how the relatively simple organic building blocks polymerise and form more complex structures , interacting in consistent ways to form a protocell .",in is is is of . <end>
45,Elizabeth was born on December at St . James s Palace and was baptized there on January the next year by William Laud the Archbishop of Canterbury .,"Elizabeth was born on 28 December 1635 at St. James 's Palace , and was baptized there on 2 January the next year by William Laud , the Archbishop of Canterbury .",in is is is of of of and and and and and and of
46,Gilles Villemure is a retired Canadian professional ice hockey goaltender .,Gilles Villemure is a retired Canadian professional ice hockey goaltender .,<end>
47,After being released from his time with Ta Kumsaw an Indian leader who taught Alvin the ways of Indian people the young boy sets out to start his apprenticeship as a Smith in the town where he was born .,"After being released from his time with Ta-Kumsaw , an Indian leader who taught Alvin the ways of Indian people , he sets out to start his apprenticeship as a Smith in the town where he was born .",in was was is is is is is the first is the first is
48,The LiveUpdate component is purposely left behind to update other Norton branded products but is not uninstalled if they are not present .,"The LiveUpdate component is purposely left behind to update other Norton-branded products , if present .",of is is is the is is the is the is the is the
49,The UEFA Cup also known as the Coupe UEFA is the trophy awarded annually by UEFA to the football club that wins the UEFA Europa League .,The winner of the UEFA Europa League plays the winner of the UEFA Champions League in the UEFA Super Cup .,of is is is the is the is is the is the is the
50,In she co published one of the first studies on trafficking in the United States entitled Sex Trafficking in the United States Links Between International and Domestic Sex Industries .,"In 2000 , she co-published one of the first studies on trafficking in the United States entitled , Sex Trafficking in the United States : Links Between International and Domestic Sex Industries .",in is is is of . <end>
51,The region in which Basque is spoken today has contracted over centuries and is thus smaller than what is known as the Basque Country or Euskal Herria in Basque .,"The region where Basque is spoken is smaller than what is known as the Basque Country , or Euskal Herria in Basque .",in is is is is of . <end>
52,The Multan Road connects the district capital Okara with the capital of Punjab Lahore .,The city of Okara is the capital .,of is is is the is the is . <end>
53,Havana is the largest city in Cuba and the country s capital .,The capital city of Cuba is Havana .,of is is is the is is is . <end>
54,Wilson tries to stop Taylor from leaving the room by grabbing his leg however Taylor is able to leave the room and enter a second room which is occupied by drummer Joey Jordison who is being pampered by women .,"Wilson is then seen physically trying to stop Taylor from leaving the room by grabbing his pant leg . However , Taylor eventually leaves the room and enters a second which is occupied by drummer Joey Jordison , with tree branches instead of fingers and a crown of thorns on his head .",in was is is is is is is . <end>
55,Indeed Warner was named the starter on August .,"Warner was named the starter on August 30 , 2008 .",<end>
56,The largest thermal lake in the world Lake Heviz is located in Hungary .,Lake Hévíz is one of the world 's largest thermal lakes .,of is is is the is is . <end>
57,He taught Arabic at Canning College Lucknow .,"He taught Arabic at Canning College , Lucknow .",in is is the of the is of . <end>
58,Weight training however is often part of the athlete s training regimen .,"Weight training , however , is often a part of the athlete 's training regimen .",of is is is is is . <end>
59,It became increasingly difficult to get action taken .,It became increasingly difficult to get action taken .,<end>
60,However the builders of the Allen Bradley Clock Tower did not add chimes to the clock so the Great Clock of Westminster still holds the title of the world s largest four faced chiming clock .,It is the world 's largest four-faced chiming clock . The clock alone weighs about 5 tons .,in is is the first is the first is the first the first the
61,Courland is one of the historical and cultural regions of Latvia .,Courland is one of historical regions of Latvia .,of is is is the is of . <end>
62,Sabana Larga Elias Pina is a Dominican municipal district of Comendador in the Elias Pina Province .,Sabana Larga is a Dominican municipal district of Comendador in the Elías Piña Province .,of is is is is is is . <end>
63,The Parnassiinae or Snow Apollos are a subfamily of the Papilionidae or Swallowtail family .,Parnassiinae is a subfamily of butterflies . It belongs in the family Papilionidae .,of is is is the is is is . <end>
64,It is located about km from Havana and has a population of .,"It has a population of about 150,000 .",of is is is is of . <end>
65,Willy Brandt born Herbert Ernst Karl Frahm was a German politician Chancellor of West Germany and leader of the Social Democratic Party of Germany .,"Willy Brandt was a German chancellor from 1969 until 1974 . He was born Herbert Ernst Karl Frahm on December 18th , 1913 in Lübeck Germany .",of is is is is of . <end>
66,After spending days at sea and a collision between the Erebus and Terror they sailed to the Falkland Islands to Tierra del Fuego back to the Falklands and onward to their third sortie into the Antarctic .,"After spending 138 days at sea , and a collision between the Erebus and Terror , they sailed to the Falkland Islands , to Tierra del Fuego , back to the Falklands and onward to their third sortie into the Antarctic .",in was is is is of the first is and and and . <end>
67,On March he debuted in Asistencia Asesoria y Administracion a promotion based in Mexico as a character named Muerte Cibernetica and was involved in an angle where this character was killed .,"On March 12 , 2006 he started wrestling in Asistencia Asesoría y Administración in Mexico as a character named Muerte Cibernetica .",in is is is of . <end>
68,Montigny le Tilleul is a Walloon municipality located in the Belgian province of Hainaut .,Montigny-le-Tilleul is a municipality located in the Belgian province of Hainaut .,of is is is is is is . <end>
69,Thus although some fictional characters travel between parallel fictional universes this is strictly speaking an incorrect usage of the term universe .,"Thus , although some fictional characters travel between parallel fictional `` universes '' , this is , strictly speaking , an incorrect usage of the term universe .",of is is is the is is is . <end>
70, Please Forgive Me is a single by Canadian rock singer Bryan Adams from .,`` Please Forgive Me '' is a single by Canadian rock singer Bryan Adams from 1993 .,of is is is is is is . <end>
71,Carpo also is a natural satellite of Jupiter .,"Carpo or , is a moon of Jupiter .",<end>
72,However this was enough for the show to be stripped in syndication allowing it to become extremely popular and gather a large cult following during the s .,"However , this was enough for the show to be stripped in syndication , allowing it to become very popular and gather a large cult following during the 1970s .",in is is the is of and and and and and and and and
73,For inert substances a lot of energy is required before they can combine with other elements to form compounds .,"For inert atoms or molecules , a lot of energy is involved before it can combine with other elements to form compounds .",of is is is the is is is . <end>
74,This is known as the Rijndael key schedule .,This is known as the Rijndael key schedule .,<end>
75,Gordan has been the leader of the Orchestre d Auvergne and the Orchestre de Chambre de Lausanne before becoming the leader of the London Symphony Orchestra .,Gordan has been the leader of the Orchestre d’Auvergne and the Orchestre de Chambre de Lausanne before becoming the leader of the London Symphony Orchestra .,of is is is the is of . <end>
76,The pair fall in love and Edward introduces Bella to his vampire family Carlisle Esme Alice Jasper Emmett and Rosalie .,"Bella and Edward fall in love and Edward introduces her to his family , Carlisle , Esme , Alice , Jasper , Emmett , and Rosalie who are also vampires .",of is is is the is is is . <end>
77,Disney s Pirates of the Caribbean films were partly photographed on and off the coast of Palos Verdes Peninsula .,Disney 's Pirates of the Caribbean films were partly photographed on and off the coast of Palos Verdes Peninsula .,of is is is the is is . <end>
78,Ahab allowed the worship of a foreign god within the palace building a temple for Baal and allowing Jezebel to bring a large entourage of priests and prophets of Baal and Asherah into the country . It is in this context that Elijah is introduced in as Elijah The Tishbite . ,"They argued , and Elijah told Ahab to `` summon the people from all over Israel '' to meet him on the Mount Carmel , and to `` bring the four hundred and fifty prophets of Baal and the four hundred prophets of Asherah , who eat at Jezebel 's table '' .",in is is is the first is is is the first is the first
79,West Pakistan formed a seemingly block but with marked linguistic and ethnic distinctions and the One Unit policy was regarded as a rational administrative reform which would reduce expenditure and eliminate provincial prejudices .,West Pakistan formed a seemingly homogeneous block but with marked linguistic and ethnic distinctions and the `` One Unit policy '' was regarded as a rational administrative reform which would reduce expenditure and eliminate provincial prejudices .,in is is is of . <end>
80,Pohjola received a Master s Degree in Jazz Improvisation and Education at age in the Spring of .,Pohjola received a Master 's Degree in Jazz Education at the Royal Swedish College of Music in 1992 .,of is is is is is . <end>
81,Tanystropheus was a metre long reptile that dated from the Middle Triassic period .,Tanystropheus is a long necked reptile that lived in the Middle Triassic period .,of is is is is is is . <end>
82,Princess Alice was married to Prince Louis the future Grand Duke of Hesse at Osborne on June . In Edward the Prince of Wales married Princess Alexandra of Denmark .,"In 1862 , Louise 's sister , Princess Alice , married Prince Louis of Hesse ; in 1863 , Albert Edward , Prince of Wales married Princess Alexandra of Denmark ; and in 1866 , Princess Helena married Prince Christian of Schleswig-Holstein .",in is is is of of . <end>
83,Its fiscal year ends September .,Its fiscal year ends September 30 .,in is is the of the is of . <end>
84,She developed a rapport with Lemmon but she disliked Curtis after hearing that he had described their love scenes as like kissing Hitler .,"She developed a working relationship with Lemmon , but she disliked Curtis after hearing that he had described their love scenes as `` like kissing Hitler '' .",of is is is the is of . <end>
85,In the World Union of Deists published a book on Deism Deism A Revolution in Religion A Revolution in You written by its founder and director Bob Johnson .,People who follow Deism are called Deists .,in is is is of of . <end>
86,Henry Stuart st Duke of Gloucester was the third adult son of Charles I and his queen Henrietta Maria of France .,"Henry Stuart , Duke of Gloucester was the third adult son of Charles I and his queen , Henrietta Maria of France .",of is is is the is is . <end>
87,Today its collection has over artworks shown in Russian Armenian and West European sections including paintings sculptures graphic and applied arts .,"Today its collection is over 19,000 specimens shown in the Russian , Armenian and West-European divisions of paintings , sculptures , graphic and applied arts .",of is is is the is is . <end>
88,Plan aims to provide users with a workstation independent working environment through the use of the P protocols .,"Plan 9 has the goal of giving users a working environment that does not rely any single computer through the use of the 9P protocols , or languages .",of is is is the is is is the is the is the is
89,Some have gentle dispositions and bite only when provoked but others are much more aggressive .,"Some have gentle dispositions and bite only when provoked , while others are much more aggressive .",of is is is the is is . <end>
90,These are the all important templates which produce the towards . . . part of the templates .,These are the all-important templates which produce the `` towards ... '' part of the templates .,in is is the is the is and . <end>
91,John Ray was an English naturalist sometimes referred to as the father of English natural history .,"John Ray was an English naturalist , sometimes referred to as the father of English natural history .",of is is is the is is is . <end>
92,It is not used for outdoor surfaces or where it will come into repeated contact with water such as around a sink or bathtub .,It is not used outdoors or where it will come into repeated contact with water such as around a sink or bathtub .,of is is is the is of and and and and and and and
93,Pokemon Crystal a special edition version was released for the Game Boy Color roughly a year later in each region .,"A special version named Pokémon Crystal , which had the Pokémon Suicune on the cover , was released around a year later .",of is is is the is is is . <end>
94,It originally aired on the Fox network in the United States on November .,"It first started on the Fox network in the United States on November 14 , 1991 .",in is is the is the is . <end>
95,Saint Pierre sur Dives is a commune in the Calvados department in the Basse Normandie region in northern France .,Saint-Pierre-sur-Dives is a commune . It is found in the region Basse-Normandie in the Calvados department in the northwest of France .,of is is is is is is is . <end>
96,This is the same list used in the season with the exception of Colin Fiona Igor and Julia which replaced Charley Frances Ivan and Jeanne respectively .,"This is the same list used in the 2004 season , but there was no of Colin , Fiona , Igor , and Julia . In 2004 those names were , Charley , Frances , Ivan , and Jeanne , respectively .",of is is is the is of . <end>
97,Tobias Jan Hakan Linderoth is a Swedish football defensive midfielder who is currently a free agent .,Tobias Linderoth is a Swedish football player .,of is is is is is . <end>
98,In a criticism of video game storytelling Gamasutra editor Daniel Cook referenced Goombas being mushrooms but also that it was a less important fact than them being squat to scale with the world and able to be squashed .,"In a criticism of video game storytelling , Gamasutra editor Daniel Cook referenced Goombas being mushrooms , but also that it was a less important fact than them being squat , to-scale with the world , and able to be squashed .",in is is is is of . <end>
99,His collaborators have spanned a wide range of musical styles and talents among them are Joshua Bell Yo Yo Ma Bela Fleck Zakir Hussain Sam Bush James Taylor Chris Thile Mike Marshall Mark O Connor Alison Krauss Mary Chapin Carpenter and the trio Nickel Creek .,"Over the years , he has worked with classical and bluegrass artists such as Joshua Bell , Yo-Yo Ma , Béla Fleck , Sam Bush , James Taylor , Jerry Douglas , Mike Marshall , Mark O'Connor , Alison Krauss , the members of Nickel Creek , and Mary Chapin Carpenter .",in is is is the first is is is the first is the first
100,A third and final direct to video sequel Leroy Stitch was released on June as the conclusion to the TV series .,"A third and final direct-to-video sequel , Leroy & Stitch , was released in June 2006 and ended the TV series .",of is is is the is is is the is the is the is
101,He is the son of Thomas G . Ayers former Chairman and CEO of Commonwealth Edison Chicago philanthropist and the namesake of the Thomas G . Ayers College of Commerce and Industry .,He is the son of Thomas G. Ayers . His father used to be Chairman and CEO of Commonwealth Edison .,in is is the first is the first is . <end>
102,The Taoiseach plural Taoisigh also referred to as An Taoiseach is the head of government of Ireland .,"The Taoiseach in English ; , also referred to as An Taoiseach , is the head of the government in Ireland .",of is is is the is is is . <end>
103,In Wallace published a paper The Origin of Human Races and the Antiquity of Man Deduced from the Theory of Natural Selection applying the theory to humankind .,"In 1864 , Wallace published a paper , The origin of human races and the antiquity of Man deduced from the theory of natural selection , applying the theory to human beings .",of is is is the first is is the is . <end>
104,Villefranche de Rouergue is a commune in the Aveyron department in southern France .,Villefranche-de-Rouergue is a commune in the Aveyron department in southern France .,of is is is is is is . <end>
105,Good quality robustas are used in some espresso blends to provide a better foam head a full bodied result and to lower the ingredient cost .,Better quality Robustas are in some espresso blends .,of is is is of of of and is is and . <end>
106,He is best known by his West Frisian nickname Grutte Pier or by the Dutch translations Grote Pier and Lange Pier or in Latin Pierius Magnus which referred to his legendary size and strength .,"Donia was also known as Grutte Pier , which means `` Big Lad '' , in Frisian language , or Grote Pier , which means the same in Dutch language .",in is is is of . <end>
107,The city has a larger population than the provincial capital and ranks second in land area .,The city has a larger population than the capital and is second largest in land area .,of is is is the is is is . <end>
108,Carneades criticized the views of the Dogmatists especially supporters of Stoicism asserting that absolute certainty of knowledge is impossible .,"He criticized the Dogmatists , especially supporters of Stoicism , asserting that absolute certainty of knowledge is impossible .",of is is is the is is the is . <end>
109,In the first ice core to fully penetrate the Antarctic Ice Sheet was drilled here .,"In 1968 , the first ice core to fully go through the Antarctic Ice Sheet was drilled here .",in is is is the is is . <end>
110, Get Me Bodied is a song by American R B singer Beyonce Knowles . The song was written by Knowles Sean Garrett Solange Knowles Angela Beyince Makeba Riddick and Kasseem Swizz Beatz Dean .,"Get Me Bodied is a song written by Beyoncé Knowles , Sean Garrett , Solange Knowles , Angela Beyince , Makeba Riddick , and Swizz Beatz for Knowles ' second studio album , B ` Day .",in is is is is . <end>
111,By succession it came under Prussian rule in .,By succession it came under Prussian rule in 1702 .,<end>
112,Hermies is a commune in the Pas de Calais department in the Nord Pas de Calais region of France .,Hermies is a commune . It is found in the region Nord-Pas-de-Calais in the Pas-de-Calais department in the north of France .,of is is is is is is is is is . <end>
113,Bellignat is a commune in the Ain department in eastern France .,Bellignat is a commune .,<end>
114,In some areas the local police recommended to the population mostly those living in areas of high risk that they should take care not to leave their homes unless necessary and to find evacuation routes and temporary shelters .,"In some areas , the local police recommended to the population , mostly those living in areas of high risk , that they should take care not to leave their homes unless necessary and to find evacuation routes and temporary shelters .",in is is is the first is is the first is the first .
115,However the builders of the Allen Bradley Clock Tower did not add chimes to the clock so the Great Clock of Westminster still holds the title of the world s largest four faced chiming clock .,It is the world 's largest four-faced chiming clock . The clock alone weighs about 5 tons .,in is is the first is the first is the first the first the
116,Plinian eruptions are marked by columns of gas and volcanic ash extending high into the stratosphere a high layer of the atmosphere .,Plinian eruptions have columns of gas and volcanic ash high into the stratosphere .,of is is is the is is . <end>
117,Bomy is a commune in the Pas de Calais department in the Nord Pas de Calais region of France .,Bomy is a commune . It is found in the region Nord-Pas-de-Calais in the Pas-de-Calais department in the north of France .,of is is is is is is is is is . <end>
118,It is important that references be cited in context and on topic .,It is important that references be cited in context and on topic .,of is is is the is of . <end>
119,As a young girl she is said to have prayed for the happiness of all sentient beings .,"As a young girl , she is said to have prayed for the happiness of all sentient beings .",of is is is is is is is . <end>
120,Asnelles is a commune in the Calvados department in the Basse Normandie region in north western France .,Asnelles is a commune . It is found in the region Basse-Normandie in the Calvados department in the northwest of France .,of is is is is is is is is is . <end>
121,It is claimed that discovery of microbial life below the surface of another body in our solar system would lend significant credence to this theory .,It is claimed that discovery of microbial life below the surface of another body in our solar system would lend significant credence to this theory .,in is is is of of of and and and and and and and
122,Mihai Eminescu was a Romantic poet novelist and journalist often regarded as the most famous and influential Romanian poet .,"Mihai Eminescu , born Mihail Eminovici , was a late Romantic poet , the best-known and most influential Romanian poet .",of is is is the is is is . <end>
123,Young is situated on the Olympic Highway and is approximately hours drive from the Canberra area .,It is on the Olympic Highway . It is about 2 hours drive from Canberra .,of is is is is is is . <end>
124,At straight rail s inception there was no restriction on the manner of scoring .,When straight rail was first invented there was no restriction on the way points were scored .,of is is is the is is . <end>
125,The most common genera of seagrasses are Halophila and Halodule .,The most common kinds of seagrasses are Halophila and Halodule .,of is is the the is the is of . <end>
126,As of the population was .,"As of 2000 the population is 29,038 .",in is is the the the is the . <end>
127,On the last page of Jikji is recorded details of its publication indicating that it was published in the rd Year of King U by metal type at Heungdeok temple in Cheongju .,Jikji consists of two volumes . The metal-print Jikji was published in Heungdeok Temple .,in is is the first is the first is the first and . <end>
128,He spent weeks in the top of the Official World Golf Rankings from to .,He spent 39 weeks in the top 10 of the Official World Golf Rankings from 2004 to 2008 .,in is is the is the is of . <end>
129,He was re elected in and held the office until March serving in the th th th st nd and rd congresses .,"He was re-elected in 1869 and held the office until March 3 , 1875 , serving in the 38th , 39th , 40th , 41st , 42nd , and 43rd congresses .",in is is the is the is of . <end>
130,Makran was an autonomous princely state of both British India and Pakistan which ceased to exist in .,"Makran was an autonomous princely state of both British India and Pakistan , which ceased to exist in 1955 .",of is is is is is is . <end>
131,Kwangmyongsong was a satellite the North Korean government claimed to have placed into orbit in April .,"Kwangmyŏngsŏng -2 is , according to its estimated trajectory , a North Korean satellite , although it was suggested that it might be an intercontinental ballistic missile .",of is is is the is is is . <end>
132,He was born in Las Palmas de Gran Canaria Canary Islands and when nineteen years old he moved to Madrid where he spent most of his adult life .,"Born in Las Palmas de Gran Canaria , Canary Islands , he moved to Madrid at the age of 20 where he spent most of his adult life .",in is is the first is of and and and and and and and
133,Snow Countess was born on November and died at age on August .,"Snow Countess was born on November 18 , 1919 and died at age 16 on August 9 , 1936 .",of is is is of . <end>
134,The album earned her a Grammy Award nomination for Best Latin Pop Album and a win at the Latin Grammy Awards for Best Female Pop Vocal Album in .,This album won a Grammy Award as Best Latin Pop Album in 2001 .,in is is is the first is is the is . <end>
135,He then studied conducting in Munich . His first post was as a rehearsal pianist at Monchen Gladbach and then in Kiel .,He studied at the Augsburg Conservatory and then the Munich National Theatre and at Mönchen - Gladbach .,in is is the is the is and and and and and and and
136,Some have gentle dispositions and bite only when provoked but others are much more aggressive .,"Some have gentle dispositions and bite only when provoked , while others are much more aggressive .",of is is is the is is . <end>
137,A charged object brought into the vicinity of an electrically neutral object will cause a separation of charge within the conductor .,Charge make charge separation A charged objects can make neutral object have charge separation .,of is is is the is is is . <end>
138,It was upon her return that she gained the status of a media sensation in France as she was well received by audiences and talk show hosts .,"After she went back , she became very famous in France and was liked by audiences and talk-show hosts .",in is is is of of of and and and and and and and
139,It originally aired on the Fox network in the United States on November .,"It first started on the Fox network in the United States on November 1 , 1990 .",in is is the is the is . <end>
140,Potato pancakes called raggmunk contain shredded raw potato and may contain other vegetables .,"There are also potato pancakes , called raggmunk . These contain shredded raw potato and , sometimes , other vegetables .",of is is is is is . <end>
141,Jon Bon Jovi is an American musician songwriter and actor best known as the lead singer and founder of band Bon Jovi .,"Jon Bon Jovi is a musician and actor . He is most famous as lead singer of the group , Bon Jovi .",of is is is is is is is . <end>
142,It is called Miya River in Gifu .,It is called Miya River in Gifu .,<end>
143,In the Company founded a small settlement in the area known as Gaya Bay which was already inhabited by the Bajau people .,"In 1882 , the Company founded a small settlement on Gaya Island , which was already inhabited by the Bajau people .",of is is is the is the is is the is the is the
144,Fraktur is a form of black letter that became the most common German black letter typeface by the mid th century .,The Fraktur is a form of blackletter that became the most common German blackletter typeface by the mid 16th century .,of is is is the is is is is the is the is .
145,During World War II when the Nazis eventually arrived to haul the aged Jewish grandmaster from his asylum to the death camps he was so patently insane that they abandoned the attempt .,"One account says that when the Nazis eventually arrived to haul the aged Jewish grandmaster from his asylum to the death camps , he was so patently insane that they abandoned the attempt .",in was was was of the first is was and and and and and
146,Takuya Honda is a Japanese football player currently playing for J team Shimizu S Pulse .,Takuya Honda is a Japanese football player . He plays for Shimizu S-Pulse .,<end>
